Name,Age,Hometown,Country,Boarded,Destination,Lifeboat,Class,Survive,Title,CountryBin,AgeBin,FamilySize,isAlone,AgeBin_Code,CountryBin_Code,Title_Code
"Allen, Miss Elizabeth Walton",29,"St Louis, Missouri, US",US,Southampton,St Louis,1,1,1,Miss,US,young adults,1,1,3.0,4.0,5.0
"Allison, Mr. Hudson Creighton",30,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",0,1,0,Mr,Other,young adults,6,0,3.0,0.0,6.0
"and cook, Miss Amelia Mary ""Mildred"" Brown[71]",18,"London, England, UK",UK,Southampton,"Montreal, Quebec, Canada",1,1,1,Miss,UK,minors,6,0,1.0,3.0,5.0
"Allison, Mrs. Bessie Waldo (née Daniels)",25,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",0,1,0,Mrs,Other,young adults,6,0,3.0,0.0,7.0
"and maid, Miss Sarah Daniels",33,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",1,1,1,Miss,Other,adults,6,0,0.0,0.0,5.0
"Allison, Miss Helen Loraine",2,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",0,1,0,Miss,Other,minors,6,0,1.0,0.0,5.0
"and nurse, Miss Alice Catherine Cleaver",22,"London, England, UK
",UK,Southampton,"Montreal, Quebec, Canada",1,1,1,Miss,UK,young adults,6,0,3.0,3.0,5.0
"Anderson, Mr. Harry",47,New York City,US,Southampton,New York City,1,1,1,Mr,US,adults,1,1,0.0,4.0,6.0
"Andrews, Miss Kornelia Theodosia",62,"Hudson, New York, US",US,Cherbourg,"Hudson, New York, US",1,1,1,Miss,US,seniors,2,0,2.0,4.0,5.0
"Andrews, Mr. Thomas[72]",39,"Belfast, Ireland, UK",UK,Belfast,New York City,0,1,0,Mr,UK,adults,2,0,0.0,3.0,6.0
"Appleton, Mrs. Charlotte Lane (née Lamson)",53,New York City,US,Southampton,New York City,1,1,1,Mrs,US,seniors,1,1,2.0,4.0,7.0
"Artagaveytia, Mr. Ramon",71,"Montevideo, Uruguay",Uruguay,Cherbourg,New York City,0,1,0,Mr,Other,seniors,1,1,2.0,0.0,6.0
"Astor, Colonel John Jacob IV",47,New York City,US,Cherbourg,New York City,0,1,0,Colonel,US,adults,4,0,0.0,4.0,1.0
"Astor, Mrs. Madeleine Talmage (née Force)[73][74]",18,New York City,US,Cherbourg,New York City,1,1,1,Mrs,US,minors,4,0,1.0,4.0,7.0
"and maid, Miss Rosalie Bidois",46,New York City,US,Cherbourg,New York City,1,1,1,Miss,US,adults,4,0,0.0,4.0,5.0
"and nurse, Miss Caroline Louise Endres",39,New York City,US,Cherbourg,New York City,1,1,1,Miss,US,adults,4,0,0.0,4.0,5.0
"Aubart, Mrs. Léontine Pauline[75]",24,"Paris, France",France,Cherbourg,New York City,1,1,1,Mrs,Other,young adults,2,0,3.0,0.0,7.0
"and maid, Miss Emma Sägesser
",24,"Paris, France",France,Cherbourg,New York City,1,1,1,Miss,Other,young adults,2,0,3.0,0.0,5.0
"Barkworth, Mr. Algernon Henry Wilson",47,"Hessle, East Yorkshire, England, UK",UK,Southampton,New York City,1,1,1,Mr,UK,adults,1,1,0.0,3.0,6.0
"Baumann, Mr. John D.",60,New York City,US,Cherbourg,New York City,0,1,0,Mr,US,seniors,1,1,2.0,4.0,6.0
"Baxter, Mrs. Hélène (née de Lanaudière-Chaput)",50,"Montreal, Quebec, Canada",Canada,Cherbourg,"Montreal, Quebec, Canada",1,1,1,Mrs,Other,adults,2,0,0.0,0.0,7.0
"Baxter, Mr. Quigg Edmond",24,"Montreal, Quebec, Canada",Canada,Cherbourg,"Montreal, Quebec, Canada",0,1,0,Mr,Other,young adults,2,0,3.0,0.0,6.0
"Beattie, Mr. Thomson",36,"Fergus, Ontario, Canada",Canada,Southampton,"Fergus, Ontario, Canada",1,1,0,Mr,Other,adults,1,1,0.0,0.0,6.0
"Beckwith, Mr. Richard Leonard",37,New York City,US,Southampton,New York City,1,1,1,Mr,US,adults,2,0,0.0,4.0,6.0
"Beckwith, Mrs. Sallie (née Monypeny)",46,New York City,US,Southampton,New York City,1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Behr, Mr. Karl Howell",26,New York City,US,"Cherbourg
",New York City,1,1,1,Mr,US,young adults,1,1,3.0,4.0,6.0
"Birnbaum, Mr. Jakob",24,"Antwerp, Belgium",Belgium,Cherbourg,"San Francisco, California, US",0,1,0,Mr,Other,young adults,1,1,3.0,0.0,6.0
"Bishop, Mr. Dickinson H. ""Dick""",25,"Dowagiac, Michigan, US",US,Cherbourg,"Dowagiac, Michigan, US",1,1,1,Mr,US,young adults,2,0,3.0,4.0,6.0
"Bishop, Mrs. Helen (née Walton)[74][77]",19,"Dowagiac, Michigan, US",US,Cherbourg,"Dowagiac, Michigan, US",1,1,1,Mrs,US,young adults,2,0,3.0,4.0,7.0
"Björnström-Steffansson, Mr. Mauritz Håkan",28,"Stockholm, Sweden",Sweden,Southampton,"Washington, D.C., US",1,1,1,Mr,Sweden,young adults,1,1,3.0,1.0,6.0
"Blackwell, Mr. Stephen Weart",45,"Trenton, New Jersey, US",US,Southampton,"Trenton, New Jersey, US",0,1,0,Mr,US,adults,1,1,0.0,4.0,6.0
"Blank, Mr. Henry",39,"Glen Ridge, New Jersey, US",US,Cherbourg,"Glen Ridge, New Jersey, US",1,1,1,Mr,US,adults,1,1,0.0,4.0,6.0
"Bonnell, Miss Elizabeth",61,"Youngstown, Ohio, US",US,Southampton,"Youngstown, Ohio, US",1,1,1,Miss,US,seniors,2,0,2.0,4.0,5.0
"Bonnell, Miss Caroline",30,"Youngstown, Ohio, US",US,Southampton,"Youngstown, Ohio, US",1,1,1,Miss,US,young adults,2,0,3.0,4.0,5.0
"Borebank, Mr. John James",42,"London, England, UK",UK,Southampton,"Toronto, Ontario, Canada",0,1,0,Mr,UK,adults,1,1,0.0,3.0,6.0
"Bowerman, Miss Elsie Edith",22,"St Leonards-on-Sea, East Sussex, England, UK",UK,Southampton,New York City,1,1,1,Miss,UK,young adults,1,1,3.0,3.0,5.0
"Brady, Mr. John Bertram",41,"Pomeroy, Washington, US",US,Southampton,"Pomeroy, Washington, US",0,1,0,Mr,US,adults,1,1,0.0,4.0,6.0
"Brandeis, Mr. Emil",48,"Omaha, Nebraska, US",US,Cherbourg,"Omaha, Nebraska, US",0,1,0,Mr,US,adults,1,1,0.0,4.0,6.0
"Brereton, Mr. George Andrew (alias George A. Brayton)",37,"Los Angeles, California, US",US,Southampton,"Los Angeles, California, US",1,1,1,Mr,US,adults,1,1,0.0,4.0,6.0
"Brewe, Dr. Arthur Jackson",45,"Philadelphia, Pennsylvania, US",US,Cherbourg,"Philadelphia, Pennsylvania, US",0,1,0,Dr,US,adults,1,1,0.0,4.0,2.0
"Brown, Mrs. Caroline Lane (née Lamson)",59,"Belmont, Massachusetts, US",US,Southampton,"Belmont, Massachusetts, US",1,1,1,Mrs,US,seniors,2,0,2.0,4.0,7.0
"Brown, Mrs. Margaret (née Tobin)",44,"Denver, Colorado, US",US,Cherbourg,"Denver, Colorado, US",1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Bucknell, Mrs. Emma Eliza (née Ward)",59,"Philadelphia, Pennsylvania, US",US,Cherbourg,"Philadelphia, Pennsylvania, US",1,1,1,Mrs,US,seniors,2,0,2.0,4.0,7.0
"and maid, Miss Albina Bazzani",36,"Philadelphia, Pennsylvania, US",US,Cherbourg,"Philadelphia, Pennsylvania, US",1,1,1,Miss,US,adults,2,0,0.0,4.0,5.0
"Butt, Major Archibald Willingham",46,"Washington, D.C., US",US,Southampton,"Washington, D.C., US",0,1,0,Major,US,adults,1,1,0.0,4.0,3.0
"Calderhead, Mr. Edward Pennington",42,New York City,US,Southampton,New York City,1,1,1,Mr,US,adults,1,1,0.0,4.0,6.0
"Candee, Mrs. Helen Churchill (née Hungerford)",53,"Washington, D.C., US",US,Cherbourg,"Washington, D.C., US",1,1,1,Mrs,US,seniors,1,1,2.0,4.0,7.0
"Cardeza, Mrs. Charlotte Wardle (née Drake)",58,"Germantown, Pennsylvania, US",US,Cherbourg,"Germantown, Pennsylvania, US",1,1,1,Mrs,US,seniors,4,0,2.0,4.0,7.0
"and maid, Miss Annie Moore Ward",38,"Germantown, Pennsylvania, US",US,Cherbourg,"Germantown, Pennsylvania, US",1,1,1,Miss,US,adults,4,0,0.0,4.0,5.0
"Cardeza, Mr. Thomas Drake Martinez",36,"Germantown, Pennsylvania, US",US,Cherbourg,"Germantown, Pennsylvania, US",1,1,1,Mr,US,adults,4,0,0.0,4.0,6.0
"and valet, Mr. Gustave J. Lesueur",35,"Germantown, Pennsylvania, US",US,Cherbourg,"Germantown, Pennsylvania, US",1,1,1,Mr,US,adults,4,0,0.0,4.0,6.0
"Carlsson, Mr. Frans Olof",33,New York City,US,Southampton,New York City,0,1,0,Mr,US,adults,1,1,0.0,4.0,6.0
"Carrau, Mr. Francisco M.",31,"Montevideo, Uruguay",Uruguay,Southampton,"Montevideo, Uruguay",0,1,0,Mr,Other,adults,2,0,0.0,0.0,6.0
"Carrau, Mr. José Pedro",17,"Montevideo, Uruguay",Uruguay,Southampton,"Montevideo, Uruguay",0,1,0,Mr,Other,minors,2,0,1.0,0.0,6.0
"Carter, Mr. William Ernest",36,"Bryn Mawr, Pennsylvania, US",US,Southampton,"Bryn Mawr, Pennsylvania, US",1,1,1,Mr,US,adults,7,0,0.0,4.0,6.0
"and valet, Mr. Alexander Cairns",28,"Bryn Mawr, Pennsylvania, US",US,Southampton,"Bryn Mawr, Pennsylvania, US",0,1,0,Mr,US,young adults,7,0,3.0,4.0,6.0
"and chauffeur, Mr. Charles Augustus Aldworth[71]",30,"Bryn Mawr, Pennsylvania, US",US,Southampton,"Bryn Mawr, Pennsylvania, US",0,1,0,Mr,US,young adults,7,0,3.0,4.0,6.0
"Carter, Mrs. Lucile (née Polk)",36,"Bryn Mawr, Pennsylvania, US",US,Southampton,"Bryn Mawr, Pennsylvania, US",1,1,1,Mrs,US,adults,7,0,0.0,4.0,7.0
"and maid, Miss Auguste Serreplan",30,"Bryn Mawr, Pennsylvania, US",US,Southampton,"Bryn Mawr, Pennsylvania, US",1,1,1,Miss,US,young adults,7,0,3.0,4.0,5.0
"Carter, Miss Lucile Polk",13,"Bryn Mawr, Pennsylvania, US",US,Southampton,"Bryn Mawr, Pennsylvania, US",1,1,1,Miss,US,minors,7,0,1.0,4.0,5.0
